#Time since start in ms ,GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),Heading direction (°)
9317,3.05,-1.59,9.09,21
9337,3.05,-1.59,9.09,21
9357,3.05,-1.59,9.09,21
9377,16.24,9.28,8.55,21
9398,16.24,9.28,8.55,21
9418,16.24,9.28,8.55,21
9438,-0.98,-4.64,15.38,22.58
9458,-0.98,-4.64,15.38,22.58
9477,-0.98,-4.64,15.38,21.69
9498,-0.98,-4.64,15.38,21.69
9517,-1.34,-9.52,7.26,21.69
9537,-1.34,-9.52,7.26,18.48
9557,-1.34,-9.52,7.26,18.48
9579,0.61,5.07,3.97,18.48
9599,0.61,5.07,3.97,20.35
9617,0.61,5.07,3.97,20.35
9637,0.61,5.07,3.97,20.35
9659,-2.87,9.7,3.97,20.35
9677,-2.87,9.7,3.97,20.35
9697,-2.87,9.7,3.97,23.51
9717,-4.64,-4.58,-3.42,23.51
9737,-4.64,-4.58,-3.42,23.51
9758,-4.64,-4.58,-3.42,23.18
9777,5.19,5,0.06,23.18
9797,5.19,5,0.06,20.46
9818,5.19,5,0.06,20.46
9838,5.19,5,0.06,20.46
9857,8.79,2.5,0.18,22.31
9877,8.79,2.5,0.18,22.31
9898,8.79,2.5,0.18,22.31
9918,-2.87,-8.73,-7.75,22.31
9937,-2.87,-8.73,-7.75,22.31
9957,-2.87,-8.73,-7.75,22.31
9978,9.09,-1.65,-14.22,19.06
9998,9.09,-1.65,-14.22,19.06
10018,9.09,-1.65,-14.22,21.62
10041,9.09,-1.65,-14.22,21.62
10057,3.17,1.46,-1.22,21.62
10078,3.17,1.46,-1.22,18.76
10097,3.17,1.46,-1.22,18.76
10118,-2.01,-2.62,-12.76,18.76
10137,-2.01,-2.62,-12.76,19.58
10158,-2.01,-2.62,-12.76,19.58
10178,-9.64,-1.04,-12.27,19.58
10197,-9.64,-1.04,-12.27,19.58
10217,-9.64,-1.04,-12.27,19.58
10238,-9.64,-1.04,-12.27,19.8
10257,-23.25,-6.29,-8.97,19.8
10277,-23.25,-6.29,-8.97,23.25
10297,-23.25,-6.29,-8.97,23.25
10318,7.51,5.92,1.22,23.25
10338,7.51,5.92,1.22,22.89
10357,7.51,5.92,1.22,22.89
10380,1.65,0.79,12.94,22.89
10397,1.65,0.79,12.94,21.92
10418,1.65,0.79,12.94,21.92
10438,1.65,0.79,12.94,21.92
10457,-0.79,1.4,8.06,21.92
10478,-0.79,1.4,8.06,21.92
10498,-0.79,1.4,8.06,23.7
10517,-0.24,-8.55,-0.18,23.7
10537,-0.24,-8.55,-0.18,23.7
10557,-0.24,-8.55,-0.18,21.1
10577,-9.58,-10.25,9.28,21.1
10599,-9.58,-10.25,9.28,20.55
10618,-9.58,-10.25,9.28,20.55
10638,-9.58,-10.25,9.28,20.55
10658,13.85,4.15,8.36,20.55
10677,13.85,4.15,8.36,20.55
10697,13.85,4.15,8.36,20.55
10718,8,-1.89,2.87,20.55
10737,8,-1.89,2.87,20.55
10757,8,-1.89,2.87,20.55
10778,8,-1.89,2.87,20.09
10798,-15.07,2.07,6.16,20.09
10818,-15.07,2.07,6.16,19.88
10838,-15.07,2.07,6.16,19.88
10858,8,7.75,1.4,19.88
10880,8,7.75,1.4,20.48
10897,8,7.75,1.4,20.48
10917,-4.76,-4.09,-0.79,21.41
10938,-4.76,-4.09,-0.79,21.41
10958,-4.76,-4.09,-0.79,21.41
10977,1.34,-6.84,-9.52,21.41
10997,1.34,-6.84,-9.52,21.41
11017,1.34,-6.84,-9.52,21.41
11038,1.34,-6.84,-9.52,20.46
11058,17.15,8.48,-5.13,20.46
11077,17.15,8.48,-5.13,20.46
11098,17.15,8.48,-5.13,20.46
11118,-0.55,7.51,-7.57,20.52
11137,-0.55,7.51,-7.57,20.52
11157,-0.55,7.51,-7.57,22.13
11177,2.87,-4.03,-13.43,22.13
11197,2.87,-4.03,-13.43,20.14
11217,2.87,-4.03,-13.43,20.14
11238,2.87,-4.03,-13.43,20.14
11258,2.87,-4.03,-13.43,20.14
11278,2.07,1.59,-5.98,20.14
11297,2.07,1.59,-5.98,20.14
11317,2.07,1.59,-5.98,20.14
11337,-12.51,-2.32,-3.91,22.18
11358,-12.51,-2.32,-3.91,19.96
11377,-12.51,-2.32,-3.91,19.96
11397,-1.04,-5.37,-9.4,19.96
11417,-1.04,-5.37,-9.4,19.96
11438,-1.04,-5.37,-9.4,19.96
11457,-1.04,-5.37,-9.4,19.96
11477,-1.04,-5.37,-9.4,19.96
11498,-1.04,-5.37,-9.4,19.96
11518,-1.04,-5.37,-9.4,19.96
11538,-1.04,-5.37,-9.4,19.96
11558,-1.04,-5.37,-9.4,19.96
11578,-1.04,-5.37,-9.4,19.96
11598,-1.04,-5.37,-9.4,19.96
11618,-1.04,-5.37,-9.4,19.96
11637,-1.04,-5.37,-9.4,19.96
11657,-1.04,-5.37,-9.4,19.96
11684,-1.04,-5.37,-9.4,19.96
11698,-1.04,-5.37,-9.4,19.96
11718,-1.04,-5.37,-9.4,19.96
11739,-5.13,0.67,6.1,19.57
11757,-5.13,0.67,6.1,19.57
11778,-5.13,0.67,6.1,19.57
11797,5.19,1.53,7.26,19.33
11817,5.19,1.53,7.26,19.33
11837,5.19,1.53,7.26,14.81
11857,-12.08,6.83,8.36,14.81
11878,-12.08,6.83,8.36,14.81
11897,-12.08,6.83,8.36,14.81
11917,-12.08,6.83,8.36,14.81
11937,2.93,0.73,3.42,15.89
11957,2.93,0.73,3.42,15.89
11982,2.93,0.73,3.42,12.57
12002,-6.41,-3.78,0.73,12.57
12017,-6.41,-3.78,0.73,12.57
12037,-6.41,-3.78,0.73,12.57
12057,0.49,-2.14,-10.01,20.86
12078,0.49,-2.14,-10.01,20.86
12098,0.49,-2.14,-10.01,17.84
12117,14.89,4.64,-18,17.84
12138,14.89,4.64,-18,17.84
12160,14.89,4.64,-18,18.99
12177,14.89,4.64,-18,18.99
12198,14.89,4.64,-18,18.99
12217,0.43,12.57,-2.87,21.14
12237,0.43,12.57,-2.87,21.14
12258,-1.77,-5.49,-13.67,21.14
12277,-1.77,-5.49,-13.67,21.14
12298,-1.77,-5.49,-13.67,21.14
12317,-1.77,-5.49,-13.67,21.14
12337,3.23,0.61,-2.44,15.34
12359,3.23,0.61,-2.44,15.34
12377,3.23,0.61,-2.44,18.17
12397,-11.47,4.03,7.57,18.17
12417,-11.47,4.03,7.57,18.17
12437,-11.47,4.03,7.57,17.9
12459,-3.91,-3.97,-12.69,17.9
12477,-3.91,-3.97,-12.69,14.46
12497,-3.91,-3.97,-12.69,14.46
12517,-3.91,-3.97,-12.69,14.46
12537,-6.71,1.46,2.44,14.46
12557,-6.71,1.46,2.44,14.46
12577,-6.71,1.46,2.44,14.46
12597,-0.12,0.98,4.21,17.57
12617,-0.12,0.98,4.21,17.57
12638,-0.12,0.98,4.21,18.98
12657,1.77,5.13,9.09,18.98
12677,1.77,5.13,9.09,18.98
12697,1.77,5.13,9.09,18.85
12718,1.77,5.13,9.09,18.85
12737,1.77,5.13,9.09,18.85
12757,1.77,-10.25,3.54,14.91
12778,1.77,-10.25,3.54,14.91
12797,0.92,-8.67,15.93,14.91
12817,0.92,-8.67,15.93,14.91
12838,0.92,-8.67,15.93,14.91
12857,0.92,-8.67,15.93,14.91
12877,3.6,-2.44,13.25,12.74
12897,3.6,-2.44,13.25,12.74
12918,3.6,-2.44,13.25,9.16
12937,-12.63,3.54,5.07,9.16
12965,-12.63,3.54,5.07,3.83
12977,-12.63,3.54,5.07,3.83
13004,-12.63,3.54,5.07,3.83
13018,-14.28,-3.3,-4.21,3.83
13037,-14.28,-3.3,-4.21,3.83
13057,-14.28,-3.3,-4.21,3.83
13077,-14.28,-3.3,-4.21,3.83
13098,8.24,6.77,-6.65,6.43
13120,1.1,5,-5.8,2.29
13137,1.1,5,-5.8,2.29
13157,1.1,5,-5.8,2.29
13178,1.1,5,-5.8,0.47
13197,-6.9,-6.29,-7.32,0.47
13218,-6.9,-6.29,-7.32,0.47
13245,-6.9,-6.29,-7.32,4.54
13257,-6.9,-6.29,-7.32,4.54
13279,8.67,2.26,-8.73,24.29
13298,8.67,2.26,-8.73,24.29
13319,8.67,2.26,-8.73,24.29
13339,-1.95,4.21,-3.11,24.29
13358,-1.95,4.21,-3.11,24.29
13379,-1.95,4.21,-3.11,24.29
13398,13.61,4.58,-7.81,47.91
13417,13.61,4.58,-7.81,47.91
13437,13.61,4.58,-7.81,64.06
13457,13.61,4.58,-7.81,64.06
13477,-11.35,-12.21,-13.49,64.06
